run_id,workflow_name,status,conclusion,created_at,updated_at,wall_clock_seconds,wall_clock_minutes,exec_seconds,exec_minutes,queue_seconds,queue_minutes,first_job_started,last_job_completed,head_branch,event,pr_number,label_group
23444988269,MZ-CI,completed,success,2026-03-23T15:20:29Z,2026-03-23T17:18:28Z,7079,118.0,7074,117.9,4,0.1,2026-03-23T15:20:33Z,2026-03-23T17:18:27Z,feat/gradle931,pull_request,6127,mz-autotest+pe-autotest
23436788130,MZ-CI,completed,success,2026-03-23T12:15:07Z,2026-03-23T13:56:48Z,6101,101.7,6097,101.6,4,0.1,2026-03-23T12:15:11Z,2026-03-23T13:56:48Z,t-jaws-xe-23154-vbr-acc-04-text-alternatives,pull_request,6134,mz-autotest+pe-autotest
23426625014,MZ-CI,completed,failure,2026-03-23T07:43:33Z,2026-03-23T08:01:17Z,1064,17.7,1060,17.7,3,0.1,2026-03-23T07:43:36Z,2026-03-23T08:01:16Z,feature/t-babelfish-mz94-dev-XE-22629-enable-changing-version,pull_request,6135,mz-autotest+pe-autotest
23426282030,MZ-CI,completed,failure,2026-03-23T07:32:26Z,2026-03-23T07:46:37Z,851,14.2,847,14.1,3,0.1,2026-03-23T07:32:29Z,2026-03-23T07:46:36Z,XE-22522-t-babelfish-feature-export-import-detail-view,pull_request,5985,mz-autotest+pe-autotest
23424532946,MZ-CI,completed,failure,2026-03-23T06:31:10Z,2026-03-23T06:46:40Z,930,15.5,926,15.4,4,0.1,2026-03-23T06:31:14Z,2026-03-23T06:46:40Z,XE-22522-t-babelfish-feature-export-import-detail-view,pull_request,5985,mz-autotest+pe-autotest
23347783708,MZ-CI,completed,failure,2026-03-20T14:37:38Z,2026-03-20T15:57:37Z,4799,80.0,4791,79.8,7,0.1,2026-03-20T14:37:45Z,2026-03-20T15:57:36Z,copilot/add-retry-analyzer-for-tests,pull_request,6124,mz-autotest+pe-autotest
23347781026,MZ-CI,completed,cancelled,2026-03-20T14:37:34Z,2026-03-20T14:37:42Z,8,0.1,0,0.0,1,0.0,2026-03-20T14:37:35Z,2026-03-20T14:37:35Z,copilot/add-retry-analyzer-for-tests,pull_request,6124,mz-autotest+pe-autotest
23347781063,MZ-CI,completed,cancelled,2026-03-20T14:37:34Z,2026-03-20T14:37:39Z,5,0.1,0,0.0,0,0.0,,,copilot/add-retry-analyzer-for-tests,pull_request,6124,mz-autotest+pe-autotest
23347281332,MZ-CI,completed,skipped,2026-03-20T14:25:43Z,2026-03-20T14:25:44Z,1,0.0,0,0.0,0,0.0,2026-03-20T14:25:43Z,2026-03-20T14:25:43Z,copilot/add-retry-analyzer-for-tests,pull_request,6124,mz-autotest+pe-autotest
23347281585,MZ-CI,completed,skipped,2026-03-20T14:25:43Z,2026-03-20T14:25:44Z,1,0.0,0,0.0,1,0.0,2026-03-20T14:25:44Z,2026-03-20T14:25:44Z,copilot/add-retry-analyzer-for-tests,pull_request,6124,mz-autotest+pe-autotest
